sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,149.451,50,35,20,5216.506716,0.415493421,25.37538184,13653.55068
OAT_N,139.4083,50,35,20,5152.548693,0.400745714,23.87877131,13601.46176
OAT_N,143.9759,50,35,20,5181.637949,0.407453236,24.55945661,13625.15273
OAT_N,136.4352,50,35,20,5133.614184,0.396379716,23.43570592,13586.04105
OAT_N,141.9623,50,35,20,5168.814119,0.404496264,24.25938044,13614.7087
OAT_N,148.6867,50,35,20,5211.639189,0.414371047,25.26148225,13649.58645
OAT_N,141.4228,50,35,20,5165.378255,0.403704008,24.1789816,13611.91045
OAT_N,132.3461,50,35,20,5107.572307,0.390374872,22.82632895,13564.83193
OAT_N,136.2828,50,35,20,5132.643608,0.396155917,23.41299455,13585.25059
OAT_N,125.2951,50,35,20,5062.66725,0.380020477,21.77555567,13528.26019
OAT_N,128.662,50,35,20,5084.109717,0.38496477,22.27730699,13545.72344
OAT_N,129.0247,50,35,20,5086.419612,0.385497395,22.33135825,13547.60467
OAT_N,149.717,50,35,20,5218.200766,0.415884042,25.41502241,13654.93036
OAT_N,146.6574,50,35,20,5198.715372,0.411391019,24.95906639,13639.06099
OAT_N,131.3503,50,35,20,5101.230447,0.388912539,22.67793014,13559.66697
OAT_N,131.2145,50,35,20,5100.36559,0.388713117,22.65769258,13558.96261
OAT_N,129.4335,50,35,20,5089.023099,0.386097718,22.39227956,13549.72501
OAT_N,137.71,50,35,20,5141.732886,0.39825176,23.62568263,13592.65311
OAT_N,122.5601,50,35,20,5045.249106,0.376004129,21.36797306,13514.07444
OAT_N,123.8438,50,35,20,5053.424489,0.377889243,21.55927609,13520.73266
OAT_N,149.1372,50,35,20,5214.508247,0.415032606,25.32861788,13651.92308
OAT_N,135.8675,50,35,20,5129.998725,0.395546049,23.35110459,13583.09653
OAT_N,121.3951,50,35,20,5037.829677,0.374293326,21.19435927,13508.03188
OAT_N,122.348,50,35,20,5043.898324,0.37569266,21.33636492,13512.97433
OAT_N,127.3344,50,35,20,5075.654753,0.383015189,22.07946177,13538.83752
OAT_N,125.4327,50,35,20,5063.54357,0.380222543,21.79606147,13528.97388
OAT_N,144.3884,50,35,20,5184.265,0.408058992,24.6209293,13627.29227
OAT_N,140.7656,50,35,20,5161.192805,0.40273891,24.08104256,13608.50173
OAT_N,136.1664,50,35,20,5131.902302,0.395984983,23.39564808,13584.64685
OAT_N,136.3453,50,35,20,5133.041646,0.396247698,23.4223086,13585.57476
OAT_N,124.8533,50,35,20,5059.853599,0.379371694,21.70971655,13525.96868
OAT_N,143.5194,50,35,20,5178.730679,0.406782865,24.49142682,13622.78498
OAT_N,133.0736,50,35,20,5112.20547,0.391443206,22.93474443,13568.60528
OAT_N,131.9721,50,35,20,5105.190448,0.389825653,22.7705937,13562.89208
OAT_N,130.6025,50,35,20,5096.468002,0.387814395,22.56648945,13555.78832
OAT_N,145.8721,50,35,20,5193.714104,0.410237806,24.84203728,13634.98784
OAT_N,147.8939,50,35,20,5206.590156,0.41320682,25.14333545,13645.4744
OAT_N,137.2928,50,35,20,5139.075902,0.397639102,23.56350952,13590.4892
OAT_N,135.1316,50,35,20,5125.312066,0.394465379,23.2414373,13579.2796
OAT_N,132.6886,50,35,20,5109.753556,0.390877833,22.87736991,13566.60839
OAT_N,125.5509,50,35,20,5064.29634,0.380396119,21.81367619,13529.58696
OAT_N,142.9965,50,35,20,5175.400534,0.406014987,24.4135018,13620.07284
OAT_N,139.2793,50,35,20,5151.727143,0.400556278,23.85954712,13600.79267
OAT_N,143.0637,50,35,20,5175.828504,0.40611367,24.42351626,13620.42138
OAT_N,142.6861,50,35,20,5173.423718,0.405559164,24.36724453,13618.46287
OAT_N,122.6048,50,35,20,5045.533783,0.376069771,21.37463447,13514.30629
OAT_N,130.6882,50,35,20,5097.013792,0.387940245,22.57926087,13556.23282
OAT_N,136.4487,50,35,20,5133.70016,0.396399541,23.43771775,13586.11107
OAT_N,145.7196,50,35,20,5192.742891,0.41001386,24.81931101,13634.19686
OAT_N,120.3947,50,35,20,5031.458522,0.372824238,21.04527494,13502.84306
OAT_N,137.179,50,35,20,5138.351155,0.397471987,23.54655051,13589.89895
OAT_N,142.8427,50,35,20,5174.421042,0.405789131,24.3905818,13619.27511
OAT_N,147.4499,50,35,20,5203.762494,0.412554806,25.07716848,13643.17149
OAT_N,127.6744,50,35,20,5077.82008,0.383514479,22.13013018,13540.60101
OAT_N,146.3242,50,35,20,5196.593352,0.410901715,24.90941135,13637.33277
OAT_N,133.168,50,35,20,5112.806666,0.391581832,22.94881236,13569.09491
OAT_N,145.4344,50,35,20,5190.926564,0.409595043,24.77680916,13632.7176
OAT_N,146.9503,50,35,20,5200.580737,0.411821143,25.00271573,13640.58019
OAT_N,148.3875,50,35,20,5209.733701,0.413931671,25.21689405,13648.03458
OAT_N,131.6751,50,35,20,5103.298971,0.389389508,22.72633336,13561.35162
